time|phrase|quote|title|author|ampm|score|keep
00:00|midnight|Towards midnight she began to wander in her speech; and after that it gradually set in that she said innumerable times in a low solemn voice, "What have I done!"|Great Expectations|Charles Dickens|explicit|5.5|
00:00|midnight|"I never felt so much like crying in my life," said Dolly, as he asked for a glass of brandy-and-water at about midnight.|The Way We Live Now|Anthony Trollope|explicit|5.5|
00:00|midnight|He drew out his watch, and exclaimed, 'Morbleu! nearly nine o'clock - why, I shall not get back to Beaucaire before midnight!|The Count of Monte Cristo|Alexandre Dumas|explicit|5.5|
00:00|twelve o'clock|We have said that at half-past twelve o'clock Madame Danglars had ordered her horses, and had left home in the carriage.|The Count of Monte Cristo|Alexandre Dumas|am-cue|5.5|
00:00|midnight|When Charles came home at midnight, she seemed to have just awakened, and as he made a noise undressing, she complained of a headache, then asked carelessly what had happened that evening.|Madame Bovary|Gustave Flaubert|explicit|5.5|
00:00|midnight|"Gentlemen, the dispositions for tomorrow - or rather for today, for it is past midnight - cannot now be altered," said he.|War and Peace|graf Leo Tolstoy|explicit|5.5|
00:00|midnight|I told him I should stay there till midnight, and I asked him to be sure to come at midnight to fetch me home.|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.5|
00:00|midnight|At last he reached the point in his story when he learned that Grushenka had deceived him and had returned from Samsonov's as soon as he left her there, though she had said that she would stay there till midnight.|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.5|
00:00|midnight|And, mother, the old dame said that this scarlet letter was the Black Man's mark on thee, and that it glows like a red flame when thou meetest him at midnight, here in the dark wood.|The Scarlet Letter|Nathaniel Hawthorne|explicit|5.5|
00:00|twelve o'clock|She was engaged to breakfast that morning with the Duchess of Beltshire, and at twelve o'clock she asked to be set ashore in the gig.|The House of Mirth|Edith Wharton|am-cue|5.5|
00:00|midnight|Kennicott had returned at midnight. At breakfast he said four several times that he had missed her every moment.|Main Street|Sinclair Lewis|explicit|5.5|
00:00|midnight|He knew the coast perfectly well, so about midnight, when he felt himself gently bumped on a weed-bed, he said, "Hm, tide's running strong tonight," and turning over under water opened his eyes slowly and stretched.|The Jungle Book|Rudyard Kipling|explicit|5.5|
00:00|twelve o'clock|The morning of the interesting day arrived, and Mrs. Weston's faithful pupil did not forget either at ten, or eleven, or twelve o'clock, that she was to think of her at four.|Emma|Jane Austen|am-cue|5.0|
00:00|midnight|A memorable storm of thunder and lightning broke with that sweep of water, and there was not a moment's interval in crash, and fire, and rain, until after the moon rose at midnight.|A Tale of Two Cities|Charles Dickens|explicit|5.0|
00:00|midnight|He left his two letters with a trusty porter, to be delivered half an hour before midnight, and no sooner; took horse for Dover; and began his journey.|A Tale of Two Cities|Charles Dickens|explicit|5.0|
