time|phrase|quote|title|author|ampm|score|keep
00:53|seven minutes to one o'clock|But at seven minutes to one o'clock in the morning a deafening whistling was heard, like that produced by a body of water rushing with great violence.|Twenty Thousand Leagues under the Sea|Jules Verne|morning|5.0|
04:40|twenty to five|At the sound of their steps a young woman of twenty to five-and-twenty, dressed in a silk morning gown, and busily engaged in plucking the dead leaves off a noisette rose-tree, raised her head.|The Count of Monte Cristo|Alexandre Dumas|am-cue|5.0|
04:46|4.46 a.m|A timepiece of striated Connemara marble, stopped at the hour of 4.46 a.m. on the 21 March 1896, matrimonial gift of Matthew Dillon: a dwarf tree of glacial arborescence under a transparent bellshade, matrimonial gift of Luke and Caroline Doyle: an embalmed owl, matrimonial gift of Alderman John Hooper.|Ulysses|James Joyce|explicit|5.0|
05:28|5.28|"Just a line to say I am coming down to Bursley on Wednesday, on business with Peels. I shall get to Knype at 5.28, and take the Loop.|The Old Wives' Tale|Arnold Bennett|am-cue|3.0|
07:40|twenty to eight|He was there by twenty to eight and watched the incoming trains.|Of Human Bondage|W. Somerset Maugham|am-cue|3.0|
07:40|twenty to eight|They whispered together a minute, then he went downstairs to get breakfast. It was twenty to eight.|Sons and Lovers|D. H. Lawrence|am-cue|3.0|
08:44|Sixteen minutes to nine|"Sixteen minutes to nine!" said John Sullivan, in a voice which betrayed his emotion.|Around the World in Eighty Days|Jules Verne|guess|2.5|
08:48|twelve minutes to nine|"It only wants twelve minutes to nine," Constance pointed out.|The Old Wives' Tale|Arnold Bennett|guess|2.0|
08:58|Two minutes to nine|"Two minutes to nine," he replied, telling the truth with a struggle.|Sons and Lovers|D. H. Lawrence|guess|2.5|
09:24|9.24|What had Gretta Conroy on? 9.23. What possessed me to buy this comb? 9.24.|Ulysses|James Joyce|guess|2.0|
11:22|Twenty-two minutes after eleven|"Twenty-two minutes after eleven," returned Passepartout, drawing an enormous silver watch from the depths of his pocket.|Around the World in Eighty Days|Jules Verne|guess|4.0|
12:05|five minutes past twelve o'clock|At five minutes past twelve o'clock next day, he directed Mrs. Bounderby's property to be carefully packed up and sent to Tom Gradgrind's; advertised his country retreat for sale by private contract; and resumed a bachelor life.|Hard Times|Charles Dickens|pm-cue|5.0|
12:05|five minutes past twelve|All the stuffs were cheap and showy and shabby; all the furniture was cracked, warped, or broken. The clock showed five minutes past twelve at five o'clock.|The Old Wives' Tale|Arnold Bennett|guess|4.0|
12:05|five minutes past twelve|Pauline Stacey fell from this floor to the ground at five minutes past twelve.|The innocence of Father Brown|G. K. Chesterton|guess|2.0|
12:47|thirteen minutes to one|He rose at thirteen minutes to one, and directed his steps towards the large hall, a sumptuous apartment adorned with lavishly-framed paintings.|Around the World in Eighty Days|Jules Verne|pm-cue|5.0|
12:51|nine to one|Where the land with serf-labor and good management gave a yield of nine to one, on the half-crop system it yields three to one.|Anna Karenina|graf Leo Tolstoy|guess|4.0|
12:51|nine to one|The eighth and largest group, which in its enormous numbers was to the others as ninety-nine to one, consisted of men who desired neither peace nor war, neither an advance nor a defensive camp at the Drissa or anywhere else, neither Barclay nor the Emperor, neither Pfuel nor Bennigsen, but only the one most essential thing - as much advantage and pleasure for themselves as possible.|War and Peace|graf Leo Tolstoy|guess|2.0|
12:53|seven to one|I could have got seven to one against Saint Amant a fortnight before.|Ulysses|James Joyce|guess|2.0|
12:54|six to one|(The reference was to a light poll which had been taken several years before, when no interest had been aroused and the immature project yet defeated by a six to one majority.)|The Old Wives' Tale|Arnold Bennett|guess|3.0|
12:54|Six of one|Mostly they come for skill - or idleness. Six of one, and half-a-dozen of the other.|Bleak House|Charles Dickens|guess|2.0|
12:54|six to one|They were six to one at Montmirail, and he scattered them like sheep.|Vanity Fair|William Makepeace Thackeray|guess|2.0|
12:54|six of one|We were not a happy couple, and not a miserable couple. We were six of one and half-a-dozen of the other.|The Moonstone|Wilkie Collins|guess|2.0|
12:56|four to one|We walked with a regular step, which rang upon the ground with astonishing intensity; the slightest noise was transmitted with a quickness to which the ear is unaccustomed on the earth; indeed, water is a better conductor of sound than air, in the ratio of four to one.|Twenty Thousand Leagues under the Sea|Jules Verne|guess|4.0|
12:57|three to one|This had a modest self-denying appearance; but it soon turned out that as, by reason of the impossibility of standing the glass upright while there was anything in it, it required to be emptied as soon as filled, Mr Riderhood managed to drink in the proportion of three to one.|Our Mutual Friend|Charles Dickens|guess|4.0|
12:57|three to one|Up to the time of the catastrophe he was the first favourite for the Wessex Cup, the betting being three to one on him.|The Memoirs of Sherlock Holmes|Arthur Conan Doyle|guess|4.0|
